subject,idna_subject,expiration_date,epoch,registrar
avast-downloads.com,avast-downloads.com,13-mar-2021,1615593600.0,
avast-downloads.com,avast-downloads.com,13-mar-2021,1615593600.0,
blacksnake.com,blacksnake.com,15-jun-2021,1623715200.0,
blacksnake.com,blacksnake.com,15-jun-2021,1623715200.0,
europcareer.com,europcareer.com,01-apr-2021,1617235200.0,
europcareer.com,europcareer.com,01-apr-2021,1617235200.0,
get-avast.com,get-avast.com,07-feb-2021,1612656000.0,
get-avast.com,get-avast.com,07-feb-2021,1612656000.0,
gooqleapi.com,gooqleapi.com,09-apr-2021,1617926400.0,
gooqleapi.com,gooqleapi.com,09-apr-2021,1617926400.0,
iphonegames3g.com,iphonegames3g.com,28-nov-2021,1638057600.0,
iphonegames3g.com,iphonegames3g.com,28-nov-2021,1638057600.0,
jmp2click.com,jmp2click.com,07-aug-2021,1628294400.0,
jmp2click.com,jmp2click.com,07-aug-2021,1628294400.0,
sunonsunday.com,sunonsunday.com,24-sep-2021,1632441600.0,
sunonsunday.com,sunonsunday.com,24-sep-2021,1632441600.0,
thesunonsunday.com,thesunonsunday.com,05-jul-2022,1656979200.0,
thesunonsunday.com,thesunonsunday.com,05-jul-2022,1656979200.0,
